    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[314]	train-merror:0.101259+0.000267702	test-merror:0.112329+0.000762523
[315]	train-merror:0.101218+0.00025329	test-merror:0.112275+0.000729917
[316]	train-merror:0.1011+0.000290838	test-merror:0.11223+0.000696075
[317]	train-merror:0.101008+0.000221709	test-merror:0.112112+0.000777469
[318]	train-merror:0.100928+0.000207625	test-merror:0.112017+0.000772532
[319]	train-merror:0.10087+0.000192844	test-merror:0.112028+0.000803734
[320]	train-merror:0.100792+0.000214156	test-merror:0.111926+0.000773503
[321]	train-merror:0.100706+0.000276769	test-merror:0.111861+0.000757564
[322]	train-merror:0.100642+0.000266862	test-merror:0.111842+0.00073128
[323]	train-merror:0.100531+0.000271482	test-merror:0.111736+0.00072284
[324]	train-merror:0.100467+0.000262437	test-merror:0.111645+0.000731892
[325]	train-merror:0.100423+0.000256381	test-merror:0.111591+0.000739254
[326]	train-merror:0.100358+0.000235642	test-merror:0.11158+0.000717989
[327]	train-merror:0.100247+0.000184737	test-merror:0.111451+0.000799753
[328]	train-merror:0.100184+0.00020183	test-merror:0.111363+0.000838466
[329]	train-merror:0.100111+0.000188781	test-merror:0.111306+0.000817274
[330]	train-merror:0.100007+0.000187044	test-merror:0.111299+0.000866116
[331]	train-merror:0.0999468+0.000212204	test-merror:0.111261+0.000811349
[332]	train-merror:0.0998782+0.000216497	test-merror:0.111245+0.000847175
[333]	train-merror:0.0997652+0.000200473	test-merror:0.111177+0.000820402
[334]	train-merror:0.0996826+0.00019955	test-merror:0.111135+0.00080521
[335]	train-merror:0.099633+0.000223535	test-merror:0.111086+0.000814613
[336]	train-merror:0.0995734+0.000228335	test-merror:0.110991+0.000779549
[337]	train-merror:0.0994526+0.00028379	test-merror:0.110892+0.000747031
[338]	train-merror:0.0993736+0.000253993	test-merror:0.110903+0.000745225
[339]	train-merror:0.0993264+0.000271381	test-merror:0.110881+0.00071987
[340]	train-merror:0.0992492+0.000271183	test-merror:0.110862+0.000689521
[341]	train-merror:0.0991724+0.00029245	test-merror:0.110831+0.000656694
[342]	train-merror:0.099118+0.000271269	test-merror:0.110725+0.000660991
[343]	train-merror:0.0990336+0.000247359	test-merror:0.110675+0.000692268
[344]	train-merror:0.098916+0.000227902	test-merror:0.110611+0.00070093
[345]	train-merror:0.0988578+0.000243647	test-merror:0.110565+0.00073618
[346]	train-merror:0.0987182+0.000276696	test-merror:0.110569+0.000764374
[347]	train-merror:0.098661+0.000307433	test-merror:0.110485+0.000764851
[348]	train-merror:0.0985736+0.000314647	test-merror:0.110432+0.0007197
[349]	train-merror:0.0984966+0.000279204	test-merror:0.110398+0.000776468
